channel x_pos y_pos z_pos
757 -130 50 2130
758 -130 50 2120
759 -130 50 2110
760 -130 50 2100
761 -130 50 2090
762 -130 50 2080
763 -130 50 2070
764 -130 50 2060
765 -130 50 2050
766 -130 50 2040
767 -130 50 2030
768 -130 50 2020
769 -130 50 2010
770 -130 50 2000
771 -130 50 1990
772 -130 50 1980
773 -130 50 1970
774 -130 50 1960
775 -130 50 1950
776 -130 50 1940
777 -130 50 1930
778 -130 50 1920
779 -130 50 1910
780 -130 50 1900
781 -130 50 1890
782 -130 50 1880
783 -130 50 1870
784 -130 50 1860
785 -130 50 1850
786 -130 50 1840
787 -130 50 1830
788 -130 50 1820
789 -130 50 1810
790 -130 50 1800
791 -130 50 1790
792 -130 50 1780
793 -130 50 1770
794 -130 50 1760
795 -130 50 1750
796 -130 50 1740
797 -130 50 1730
798 -130 50 1720
799 -130 50 1710
800 -130 50 1700
801 -130 50 1690
802 -130 50 1680
803 -130 50 1670
804 -130 50 1660
805 -130 50 1650
806 -130 50 1640
807 -130 50 1630
808 -130 50 1620
809 -130 50 1610
810 -130 50 1600
811 -130 50 1590
812 -130 50 1580
813 -130 50 1570
814 -130 50 1560
815 -130 50 1550
816 -130 50 1540
817 -130 50 1530
818 -130 50 1520
819 -130 50 1510
820 -130 50 1500
821 -130 50 1490
822 -130 50 1480
823 -130 50 1470
824 -130 50 1460
825 -130 50 1450
826 -130 50 1440
827 -130 50 1430
828 -130 50 1420
829 -130 50 1410
830 -130 50 1400
831 -130 50 1390
832 -130 50 1380
833 -130 50 1370
834 -130 50 1360
835 -130 50 1350
836 -130 50 1340
837 -130 50 1330
838 -130 50 1320
839 -130 50 1310
840 -130 50 1300
841 -130 50 1290
842 -130 50 1280
843 -130 50 1270
844 -130 50 1260
845 -130 50 1250
846 -130 50 1240
847 -130 50 1230
848 -130 50 1220
849 -130 50 1210
850 -130 50 1200
851 -130 50 1190
852 -130 50 1180
853 -130 50 1170
854 -130 50 1160
855 -130 50 1150
856 -130 50 1140
857 -130 50 1130
858 -130 50 1120
859 -130 50 1110
860 -130 50 1100
861 -130 50 1090
862 -130 50 1080
863 -130 50 1070
864 -130 50 1060
865 -130 50 1050
866 -130 50 1040
867 -130 50 1030
868 -130 50 1020
869 -130 50 1010
870 -130 50 1000
871 -130 50 990
872 -130 50 980
873 -130 50 970
874 -130 50 960
875 -130 50 950
876 -130 50 940
877 -130 50 930
878 -130 50 920
879 -130 50 910
880 -130 50 900
881 -130 50 890
882 -130 50 880
883 -130 50 870
884 -130 50 860
885 -130 50 850
886 -130 50 840
887 -130 50 830
888 -130 50 820
889 -130 50 810
890 -130 50 800
891 -130 50 790
892 -130 50 780
893 -130 50 770
894 -130 50 760
895 -130 50 750
896 -130 50 740
897 -130 50 730
898 -130 50 720
899 -130 50 710
900 -130 50 700
901 -130 50 690
902 -130 50 680
903 -130 50 670
904 -130 50 660
905 -130 50 650
906 -130 50 640
907 -130 50 630
908 -130 50 620
909 -130 50 610
910 -130 50 600
911 -130 50 590
912 -130 50 580
913 -130 50 570
914 -130 50 560
915 -130 50 550
916 -130 50 540
917 -130 50 530
918 -130 50 520
919 -130 50 510
920 -130 50 500
921 -130 50 490
922 -130 50 480
923 -130 50 470
924 -130 50 460
925 -130 50 450
926 -130 50 440
927 -130 50 430
928 -130 50 420
929 -130 50 410
930 -130 50 400
931 -130 50 390
932 -130 50 380
933 -130 50 370
934 -130 50 360
935 -130 50 350
936 -130 50 340
937 -130 50 330
938 -130 50 320
939 -130 50 310
940 -130 50 300
941 -130 50 290
942 -130 50 280
943 -130 50 270
944 -130 50 260
945 -130 50 250
946 -130 50 240
947 -130 50 230
948 -130 50 220
949 -130 50 210
950 -130 50 200
951 -130 50 190
952 -130 50 180
953 -130 50 170
954 -130 50 160
955 -130 50 150
956 -130 50 140
957 -130 50 130
958 -130 50 120
959 -130 50 110
960 -120 50 2500
961 -120 50 2490
962 -120 50 2480
963 -120 50 2470
964 -120 50 2460
965 -120 50 2450
966 -120 50 2440
967 -120 50 2430
968 -120 50 2420
969 -120 50 2410
970 -120 50 2400
971 -120 50 2390
972 -120 50 2380
973 -120 50 2370
974 -120 50 2360
975 -120 50 2350
976 -120 50 2340
977 -120 50 2330
978 -120 50 2320
979 -120 50 2310
980 -120 50 2300
981 -120 50 2290
982 -120 50 2280
983 -120 50 2270
984 -120 50 2260
985 -120 50 2250
986 -120 50 2240
987 -120 50 2230
988 -120 50 2220
989 -120 50 2210
990 -120 50 2200
991 -120 50 2190
992 -120 50 2180
993 -120 50 2170
994 -120 50 2160
995 -120 50 2150
996 -120 50 2140
997 -120 50 2130
998 -120 50 2120
999 -120 50 2110
1000 -120 50 2100
1001 -120 50 2090
1002 -120 50 2080
1003 -120 50 2070
1004 -120 50 2060
1005 -120 50 2050
1006 -120 50 2040
1007 -120 50 2030
1008 -120 50 2020
1009 -120 50 2010
1010 -120 50 2000
1011 -120 50 1990
1012 -120 50 1980
1013 -120 50 1970
1014 -120 50 1960
1015 -120 50 1950
1016 -120 50 1940
1017 -120 50 1930
1018 -120 50 1920
1019 -120 50 1910
1020 -120 50 1900
1021 -120 50 1890
1022 -120 50 1880
1023 -120 50 1870
1024 -120 50 1860
1025 -120 50 1850
1026 -120 50 1840
1027 -120 50 1830
1028 -120 50 1820
1029 -120 50 1810
1030 -120 50 1800
1031 -120 50 1790
1032 -120 50 1780
1033 -120 50 1770
1034 -120 50 1760
1035 -120 50 1750
1036 -120 50 1740
1037 -120 50 1730
1038 -120 50 1720
1039 -120 50 1710
1040 -120 50 1700
1041 -120 50 1690
1042 -120 50 1680
1043 -120 50 1670
1044 -120 50 1660
1045 -120 50 1650
1046 -120 50 1640
1047 -120 50 1630
1048 -120 50 1620
1049 -120 50 1610
1050 -120 50 1600
1051 -120 50 1590
1052 -120 50 1580
1053 -120 50 1570
1054 -120 50 1560
1055 -120 50 1550
1056 -120 50 1540
1057 -120 50 1530
1058 -120 50 1520
1059 -120 50 1510
1060 -120 50 1500
1061 -120 50 1490
1062 -120 50 1480
1063 -120 50 1470
1064 -120 50 1460
1065 -120 50 1450
1066 -120 50 1440
1067 -120 50 1430
1068 -120 50 1420
1069 -120 50 1410
1070 -120 50 1400
1071 -120 50 1390
1072 -120 50 1380
1073 -120 50 1370
1074 -120 50 1360
1075 -120 50 1350
1076 -120 50 1340
1077 -120 50 1330
1078 -120 50 1320
1079 -120 50 1310
1080 -120 50 1300
1081 -120 50 1290
1082 -120 50 1280
1083 -120 50 1270
1084 -120 50 1260
