86.2 500
86.2 427
86.3 171
86.4 485
86.4 481
86.4 211
86.5 248
86.5 458
86.5 142
86.6 35
86.7 294
86.9 499
86.9 56
86.9 203
87.0 333
87.0 322
87.1 208
87.1 475
87.2 220
87.2 298
87.2 160
87.3 315
87.4 400
87.5 0
87.5 395
87.5 480
87.6 321
87.6 330
87.6 227
87.7 156
87.7 407
87.7 140
87.8 415
87.8 442
87.8 391
87.9 354
87.9 175
88.0 226
88.1 70
88.2 472
88.3 398
88.3 213
88.3 417
88.4 454
88.4 496
88.5 188
88.6 148
88.6 323
88.7 462
88.8 464
88.9 403
88.9 27
88.9 36
89.0 493
89.0 1
89.0 26
89.0 179
89.0 132
89.2 376
89.2 409
89.3 5
89.3 381
89.4 370
89.4 382
89.4 414
89.6 138
89.7 416
89.9 17
90.0 504
90.0 238
90.2 147
90.3 503
90.3 489
90.3 436
90.3 397
90.4 162
90.5 387
90.6 428
90.7 374
90.7 300
90.7 405
90.8 159
90.8 163
90.9 482
91.0 269
91.0 394
91.1 16
91.1 457
91.1 317
91.2 444
91.2 77
91.4 487
91.4 303
91.4 204
91.4 29
91.5 190
91.5 426
91.6 451
91.6 327
91.7 296
91.7 209
91.7 216
91.7 81
91.7 217
91.8 357
91.9 389
92.0 199
92.1 478
92.1 440
92.3 202
92.4 183
92.4 408
92.4 297
92.4 224
92.4 34
92.5 251
92.5 470
92.6 3
92.6 212
92.7 423
92.7 8
92.8 37
92.8 309
92.9 168
93.0 311
93.0 308
93.1 325
93.2 222
93.2 82
93.3 306
93.3 20
93.4 424
93.5 74
93.5 505
93.5 421
93.5 438
93.6 185
93.6 361
93.6 198
93.8 360
93.8 473
93.9 335
94.1 316
94.2 495
94.2 429
94.2 234
94.3 21
94.4 40
94.5 294
94.5 484
94.6 463
94.6 166
94.6 350
94.7 139
94.8 485
94.8 371
94.8 476
94.8 181
94.9 46
95.0 364
95.1 180
95.1 499
95.1 349
95.1 52
95.1 229
95.2 178
95.2 167
95.2 236
95.4 321
95.4 367
95.6 152
95.7 330
95.7 175
100.3 487
100.9 199
103.9 415
105.0 463
105.1 175
105.8 271
108.9 487
109.4 199
111.0 463
111.2 367
111.5 271
112.3 175
117.6 199
117.9 487
121.6 415
131.9 487
132.5 247
142.0 175
154.7 175
158.7 127
177.4 175
206.4 79
209.9 199
210.4 439
253.1 175
400.8 487
437.0 175
479.7 223
521.1 247
599.6 223
604.8 343
623.5 463
639.6 199
673.0 175
697.1 463
711.4 487
773.7 487
812.5 175
818.1 247
839.2 127
854.8 175
874.7 439
886.9 199
946.7 175
1001.7 463
1013.6 199
1033.1 175
1035.2 487
1045.0 223
1140.9 223
1144.5 175
1173.4 487
1241.3 175
1252.0 199
1257.8 247
1291.0 463
1365.5 55
1370.7 199
1455.0 175
1459.6 199
1493.2 367
1503.6 175
1527.9 199
1553.3 439
1599.4 175
1697.8 367
1714.9 175
1719.9 487
1724.8 199
1733.7 463
1909.1 175
1919.8 199
1950.9 463
1984.7 175
1991.9 487
2016.2 439
2078.4 487
2104.1 223
2169.9 463
2182.8 199
2203.7 175
2261.5 199
2326.1 175
2351.0 367
2421.5 415
2450.6 199
2454.5 175
2486.8 463
2500.4 199
2508.4 175
2534.5 487
2535.5 367
2750.8 175
2761.0 463
2802.6 391
2806.3 247
2813.5 367
2830.1 199
2870.9 487
2882.0 439
2908.7 175
2923.3 223
2938.0 463
2943.4 199
2948.9 175
2948.9 415
2959.1 55
3005.5 199
3045.3 223
3058.9 175
3121.5 199
3190.2 175
3197.0 463
3218.5 199
3244.8 175
3262.0 487
3305.7 175
3365.0 487
3383.5 175
3405.8 439
3456.0 199
3470.9 175
3540.9 463
3542.6 199
3639.4 199
3655.3 175
3746.2 367
3792.5 199
3798.2 175
3824.9 463
3837.5 487
3880.0 463
3892.9 175
3945.4 223
3961.9 175
